customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,is_month_to_month,charge_to_tenure_ratio,high_charge_low_tenure,support_gap,service_complexity_score,early_tenure_flag,commitment_level,tenure_bucket,avg_monthly_value,value_mismatch_score,no_support_high_cost,fiber_risk_flag,legacy_service_flag,addon_dependency_score,manual_payment_flag,auto_payment_flag,payment_friction_score,friction_score,early_warning_flag
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,1,14.925,0,1,1,1,0,new,14.925,1.8744113029827316,0,0,1,1,1,0,1,3,1
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,0,1.6271428571428572,0,1,2,0,1,long,53.98571428571429,1.035723564562224,0,0,1,2,1,0,0,2,0
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,17.95,0,1,2,1,0,new,36.050000000000004,1.4534412955465585,0,0,1,2,1,0,1,3,1
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,0,0.9195652173913043,0,0,2,0,1,long,40.016304347826086,1.0312972041870943,0,0,1,2,0,1,0,0,0
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,23.566666666666666,1,1,0,1,0,new,50.550000000000004,1.3714839961202716,1,1,0,0,1,0,1,5,1
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,11.072222222222223,0,1,4,0,0,mid,91.16666666666667,1.0811934900542495,1,1,0,3,1,0,1,3,1
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,1,3.8739130434782605,0,1,3,0,0,mid,84.75652173913043,1.0389880348813627,1,1,0,2,0,1,0,2,0
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,1,2.7045454545454546,0,1,1,0,0,mid,27.44545454545454,1.04586129753915,0,0,1,1,1,0,1,2,0
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,3.613793103448276,0,0,4,0,0,long,105.03620689655173,0.9883416529812522,0,1,0,3,1,0,1,2,0
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,0,0.8912698412698412,0,1,2,0,1,long,55.364285714285714,0.9961982004815613,0,0,1,2,0,1,0,1,0
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,1,3.567857142857143,0,1,1,0,0,mid,41.96071428571429,1.1626901654335355,0,0,1,1,1,0,1,2,0
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,1.1147058823529412,0,0,0,0,2,mid,19.223529411764705,0.9370273414776032,0,0,0,0,0,1,0,0,0
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0,1.7008474576271186,0,1,4,0,1,long,96.28983050847458,1.0314541558509434,1,1,0,3,0,1,0,2,0
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,2.074,0,1,5,0,0,long,100.726,1.0194050685173899,1,1,0,4,0,1,0,2,0
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,1,4.0576923076923075,0,0,4,0,0,long,103.3096153846154,1.0114120314890949,0,1,0,4,1,0,1,2,0
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0,1.6178571428571429,0,0,6,0,2,long,112.78785714285713,0.9952731586975764,0,1,0,5,0,1,0,1,0
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,0,0.38962264150943393,0,0,0,0,1,long,19.300943396226415,1.0171941075328779,0,0,0,0,1,0,0,1,0
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0,1.4819444444444445,0,1,5,0,2,long,102.53125,1.0306067008753397,1,1,0,4,0,1,0,2,0
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,5.0181818181818185,0,0,1,0,0,mid,48.03181818181818,1.1257995735607678,0,0,1,1,0,1,0,0,0
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,1,4.093181818181818,0,1,3,0,0,mid,84.67727272727274,1.0510371903018727,1,1,0,3,1,0,1,3,1
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,19.825,0,1,2,1,0,new,19.825,1.9039615846338536,0,0,1,2,1,0,1,3,1
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0,1.5230769230769232,0,0,0,0,1,mid,15.557692307692308,1.1958188153310105,0,0,0,0,0,1,0,0,0
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,10.075,0,0,0,1,0,new,10.075,1.81941309255079,0,0,0,0,1,0,1,2,0
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0,1.0152542372881355,0,0,2,0,2,long,59.40847457627118,0.9915827277573581,0,0,1,1,0,1,0,0,0
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,1,1.192,0,0,2,0,0,long,59.406000000000006,0.9866569546071582,0,0,1,2,0,1,0,0,0
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,1,1.7838709677419353,0,1,2,0,0,long,49.37419354838709,1.0977843237704918,0,0,1,2,0,1,0,1,0
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,2.0697916666666667,0,1,4,0,0,long,98.940625,0.9940902410806416,1,1,0,3,1,0,1,3,1
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,15.1,0,1,1,1,0,new,15.1,1.8757763975155277,0,0,1,1,1,0,1,3,1
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,0,1.2363013698630136,0,0,6,0,2,long,87.2527397260274,1.022631141879254,0,0,1,5,0,1,0,0,0
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,3.5944444444444446,0,1,2,0,0,mid,60.727777777777774,1.048150481504815,0,0,1,2,1,0,1,2,0
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0,1.3381944444444445,0,0,4,0,2,long,93.98541666666667,1.0143662404316451,0,1,0,3,0,1,0,1,0
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,1,31.833333333333332,1,1,3,1,0,new,60.550000000000004,1.5515840779853776,1,1,0,3,0,1,0,4,1
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,0,2.3625000000000003,0,0,3,0,1,long,66.94464285714285,0.9735866908460145,0,0,1,3,1,0,0,1,0
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,1,10.1,0,0,0,1,0,new,10.1,1.8198198198198199,0,0,0,0,0,1,0,1,0
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,1,22.625,0,1,0,1,0,new,22.625,1.9153439153439153,0,0,1,0,0,1,0,2,0
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,0,1.3684931506849316,0,0,4,0,2,long,99.33835616438355,0.9956312203912789,0,1,0,3,0,1,0,1,0
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,11.616666666666667,0,1,0,1,0,new,52.81666666666666,1.2951378135645712,0,1,0,0,1,0,1,4,1
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,1,1.5914893617021275,0,1,1,0,0,long,75.49574468085106,0.9778321697772091,1,1,0,1,0,1,0,2,0
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,3.0385714285714283,0,1,5,0,0,long,101.40714285714286,1.038501778614773,1,1,0,4,1,0,1,3,1
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,8.154166666666667,0,1,4,0,0,mid,92.11666666666667,1.0508322892428852,1,1,0,3,0,1,0,2,0
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0,4.504545454545454,0,1,1,0,1,mid,43.24545454545454,1.1198890486952948,0,0,1,1,1,0,0,2,0
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,0,0.9746478873239437,0,1,4,0,2,long,68.62464788732395,0.9939008971648781,0,0,1,3,0,1,0,1,0
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,0,1.1527777777777777,0,0,0,0,1,mid,23.23611111111111,0.856160458452722,0,0,0,0,1,0,0,1,0
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,0,1.24765625,0,0,5,0,2,long,75.96015625,1.0375498685399303,0,0,1,4,0,1,0,0,0
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,1,5.442857142857143,0,0,4,0,0,mid,70.10357142857143,1.0716761263750063,0,0,1,3,1,0,1,1,0
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,1,1.69,0,1,2,0,0,long,78.134,1.0678090327798417,1,1,0,1,1,0,1,3,1
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,1,16.416666666666668,0,1,1,1,0,new,32.333333333333336,1.4774999999999998,0,0,1,1,1,0,1,3,1
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,26.883333333333336,1,1,1,1,0,new,48.050000000000004,1.6442405708460754,1,1,0,1,1,0,1,5,1
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,0,1.5047169811320755,0,0,4,0,2,long,79.5811320754717,0.9896857731572539,0,0,1,3,0,1,0,0,0
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,0,0.9164285714285715,0,0,3,0,2,long,60.77285714285715,1.0384819962535556,0,0,1,2,0,1,0,0,0
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,1,2.0511363636363638,0,1,3,0,0,long,87.24431818181819,1.0227287360762345,1,1,0,2,1,0,1,3,1
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,6.19375,0,1,4,0,0,mid,89.15,1.0992789794786466,1,1,0,4,0,1,0,2,0
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,1,2.673076923076923,0,0,3,0,0,long,67.40961538461539,1.015939054901189,0,0,1,2,0,1,0,0,0
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,8.961111111111112,0,1,2,0,0,mid,70.36666666666666,1.130079402148529,1,1,0,1,0,1,0,2,0
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,0,1.2270491803278687,0,0,4,0,1,long,73.05491803278689,1.0107363830564378,0,0,1,4,0,1,0,0,0
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,5.023684210526316,0,1,3,0,0,mid,92.23947368421052,1.0237080522706106,1,1,0,2,1,0,1,3,1
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,0,1.55703125,0,1,4,0,1,long,98.6125,1.000376458777764,1,1,0,3,0,1,0,2,0
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,0,1.6186567164179104,0,0,5,0,1,long,105.61716417910448,1.0171908138338455,0,1,0,4,1,0,0,2,0
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,0,0.7128571428571429,0,0,1,0,2,long,25.55142857142857,0.939685784999462,0,0,0,0,0,1,0,0,0
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,0,1.4726027397260273,0,0,4,0,2,long,107.58493150684932,0.9900084524455321,0,1,0,3,0,1,0,1,0
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,1,2.09375,0,1,4,0,0,long,98.06458333333335,1.0144897057895732,1,1,0,3,1,0,1,3,1
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,1,1.4737704918032788,0,1,3,0,0,long,89.35573770491803,0.994956184117423,1,1,0,2,0,1,0,2,0
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,0,0.5767123287671233,0,1,3,0,2,long,40.57534246575342,1.0126194398682045,0,0,1,3,0,1,0,1,0
